timestamp,time,watts,watt-hours
2024-01-31 21:57:31,2,69,0.03833333333333333
2024-01-31 21:57:35,2,84,0.04666666666666667
2024-01-31 21:58:05,5,100,0.1388888888888889
2024-01-31 21:58:18,9,100,0.25
